model,dataset,n,TP,TN,FP,FN,accuracy,precision_fake,recall_fake_sensitivity,specificity_real,f1_fake,balanced_accuracy
awsaf49/sonics-spectttra-alpha-120s,fakemusiccaps_fake_2000,2000,748,0,0,1252,0.374,1.0,0.374,,0.544395924308588,
awsaf49/sonics-spectttra-alpha-5s,fakemusiccaps_fake_2000,2000,252,0,0,1748,0.126,1.0,0.126,,0.2238010657193606,
awsaf49/sonics-spectttra-beta-120s,fakemusiccaps_fake_2000,2000,63,0,0,1937,0.0315,1.0,0.0315,,0.06107610276296655,
awsaf49/sonics-spectttra-beta-5s,fakemusiccaps_fake_2000,2000,148,0,0,1852,0.074,1.0,0.074,,0.1378026070763501,
awsaf49/sonics-spectttra-gamma-120s,fakemusiccaps_fake_2000,2000,839,0,0,1161,0.4195,1.0,0.4195,,0.5910531877421628,
awsaf49/sonics-spectttra-gamma-5s,fakemusiccaps_fake_2000,2000,187,0,0,1813,0.0935,1.0,0.0935,,0.17101051668952905,
Deezer-specnn_amplitude,fakemusiccaps_fake_valid_2000,2000,216,0,0,1784,0.108,1.0,0.108,,0.19494584837545126,
Deezer-specnn_amplitude,fma_fake_valid_2000,2000,1997,0,0,3,0.9985,1.0,0.9985,,0.9992494370778084,
awsaf49/sonics-spectttra-alpha-120s,fma_fake_valid_2000,2000,142,0,0,1858,0.071,1.0,0.071,,0.13258636788048553,
awsaf49/sonics-spectttra-alpha-5s,fma_fake_valid_2000,2000,74,0,0,1926,0.037,1.0,0.037,,0.07135969141755062,
awsaf49/sonics-spectttra-beta-120s,fma_fake_valid_2000,2000,16,0,0,1984,0.008,1.0,0.008,,0.015873015873015872,
awsaf49/sonics-spectttra-beta-5s,fma_fake_valid_2000,2000,65,0,0,1935,0.0325,1.0,0.0325,,0.06295399515738499,
awsaf49/sonics-spectttra-gamma-120s,fma_fake_valid_2000,2000,78,0,0,1922,0.039,1.0,0.039,,0.07507218479307026,
awsaf49/sonics-spectttra-gamma-5s,fma_fake_valid_2000,2000,74,0,0,1926,0.037,1.0,0.037,,0.07135969141755062,
Deezer-specnn_amplitude,fma_real_valid_2000,2000,0,1998,2,0,0.999,0.0,,0.999,,
awsaf49/sonics-spectttra-alpha-120s,fma_real_valid_2000,2000,0,1915,85,0,0.9575,0.0,,0.9575,,
awsaf49/sonics-spectttra-alpha-5s,fma_real_valid_2000,2000,0,1937,63,0,0.9685,0.0,,0.9685,,
awsaf49/sonics-spectttra-beta-120s,fma_real_valid_2000,2000,0,1981,19,0,0.9905,0.0,,0.9905,,
awsaf49/sonics-spectttra-beta-5s,fma_real_valid_2000,2000,0,1912,88,0,0.956,0.0,,0.956,,
awsaf49/sonics-spectttra-gamma-120s,fma_real_valid_2000,2000,0,1940,60,0,0.97,0.0,,0.97,,
awsaf49/sonics-spectttra-gamma-5s,fma_real_valid_2000,2000,0,1934,66,0,0.967,0.0,,0.967,,
Deezer-specnn_amplitude,sonics_fake_valid_2000,2000,0,0,0,2000,0.0,,0.0,,,
awsaf49/sonics-spectttra-alpha-120s,sonics_fake_valid_2000,2000,1906,0,0,94,0.953,1.0,0.953,,0.9759344598054276,
awsaf49/sonics-spectttra-alpha-5s,sonics_fake_valid_2000,2000,1413,0,0,587,0.7065,1.0,0.7065,,0.8280105479050688,
awsaf49/sonics-spectttra-beta-120s,sonics_fake_valid_2000,2000,1700,0,0,300,0.85,1.0,0.85,,0.9189189189189189,
awsaf49/sonics-spectttra-beta-5s,sonics_fake_valid_2000,2000,1292,0,0,708,0.646,1.0,0.646,,0.7849331713244229,
awsaf49/sonics-spectttra-gamma-120s,sonics_fake_valid_2000,2000,1591,0,0,409,0.7955,1.0,0.7955,,0.886104149262044,
awsaf49/sonics-spectttra-gamma-5s,sonics_fake_valid_2000,2000,1275,0,0,725,0.6375,1.0,0.6375,,0.7786259541984732,
Deezer-specnn_amplitude,sonics_real_valid_1243,1243,0,1243,0,0,1.0,,,1.0,,
awsaf49/sonics-spectttra-alpha-120s,sonics_real_valid_1243,1243,0,1238,5,0,0.99597747385358,0.0,,0.99597747385358,,
awsaf49/sonics-spectttra-alpha-5s,sonics_real_valid_1243,1243,0,1164,79,0,0.9364440868865648,0.0,,0.9364440868865648,,
awsaf49/sonics-spectttra-beta-120s,sonics_real_valid_1243,1243,0,1235,8,0,0.9935639581657281,0.0,,0.9935639581657281,,
awsaf49/sonics-spectttra-beta-5s,sonics_real_valid_1243,1243,0,1170,73,0,0.9412711182622687,0.0,,0.9412711182622687,,
awsaf49/sonics-spectttra-gamma-120s,sonics_real_valid_1243,1243,0,1219,24,0,0.9806918744971842,0.0,,0.9806918744971842,,
awsaf49/sonics-spectttra-gamma-5s,sonics_real_valid_1243,1243,0,1211,32,0,0.9742558326629123,0.0,,0.9742558326629123,,
